StateAb,PartyAb,DivisionNm,TotalVotes,Year
NSW,GRN,Banks,8063,2022
NSW,GRN,Barton,11441,2022
NSW,GRN,Bennelong,11395,2022
NSW,GRN,Berowra,14536,2022
NSW,GRN,Blaxland,5187,2022
NSW,GRN,Bradfield,8960,2022
NSW,GRN,Calare,4891,2022
NSW,GRN,Chifley,5622,2022
NSW,GRN,Cook,9685,2022
NSW,GRN,Cowper,6518,2022
NSW,GRN,Cunningham,22011,2022
NSW,GRN,Dobell,8700,2022
NSW,GRN,Eden-Monaro,9376,2022
NSW,GRN,Farrer,9163,2022
NSW,GRN,Fowler,4191,2022
NSW,GRN,Gilmore,11417,2022
NSW,GRN,Grayndler,20846,2022
NSW,GRN,Greenway,7086,2022
NSW,GRN,Hughes,6118,2022
NSW,GRN,Hume,5194,2022
NSW,GRN,Hunter,9562,2022
NSW,GRN,Kingsford Smith,16401,2022
NSW,GRN,Lindsay,8404,2022
NSW,GRN,Lyne,8422,2022
NSW,GRN,Macarthur,8584,2022
NSW,GRN,Mackellar,6032,2022
NSW,GRN,Macquarie,9115,2022
NSW,GRN,McMahon,4922,2022
NSW,GRN,Mitchell,12796,2022
NSW,GRN,New England,7524,2022
NSW,GRN,Newcastle,21195,2022
NSW,GRN,North Sydney,8308,2022
NSW,GRN,Page,8863,2022
NSW,GRN,Parkes,4214,2022
NSW,GRN,Parramatta,7546,2022
NSW,GRN,Paterson,8677,2022
NSW,GRN,Reid,9184,2022
NSW,GRN,Richmond,25216,2022
NSW,GRN,Riverina,6349,2022
NSW,GRN,Robertson,9642,2022
NSW,GRN,Shortland,9910,2022
NSW,GRN,Sydney,23732,2022
NSW,GRN,Warringah,6910,2022
NSW,GRN,Watson,8200,2022
NSW,GRN,Wentworth,7410,2022
NSW,GRN,Werriwa,6772,2022
NSW,GRN,Whitlam,11779,2022
